session_id,timestamp_ms,camera_frame_id,imu_ax,imu_ay,imu_az,force_n,action,object_name,recorded_at
S001,1000,F001,0.10,0.20,9.70,2.1,reach,cup,2026-09-01T10:00:01
S001,1033,F002,0.11,0.21,9.69,2.3,grasp,cup,2026-09-01T10:00:01
S001,1066,F003,0.12,0.20,9.71,2.8,lift,cup,2026-09-01T10:00:01
S001,1099,F004,0.13,0.22,9.68,3.1,move,cup,2026-09-01T10:00:01
S001,1132,F005,0.14,0.21,9.70,3.4,place,cup,2026-09-01T10:00:01
S001,1165,F006,0.15,0.20,9.69,3.2,release,cup,2026-09-01T10:00:01
S002,2000,F101,0.08,0.18,9.72,1.5,reach,bottle,2026-09-01T10:05:01
S002,2033,F102,0.09,0.19,9.71,1.7,grasp,bottle,2026-09-01T10:05:01
S002,2066,F103,0.10,0.20,9.70,2.0,lift,bottle,2026-09-01T10:05:01
S002,2099,F104,0.11,0.21,9.69,2.2,move,bottle,2026-09-01T10:05:01
S002,2099,F104,0.11,0.21,9.69,2.2,move,bottle,2026-09-01T10:05:01
S002,2132,F105,0.12,0.20,9.70,2.4,place,bottle,2026-09-01T10:05:01
S002,2165,F106,0.13,0.20,9.69,,release,bottle,2026-09-01T10:05:01
S003,3000,F201,0.10,0.20,9.70,2.0,reach,box,2026-09-01T10:10:01
S003,3033,F202,0.11,0.21,9.69,2.2,grasp,box,2026-09-01T10:10:01
S003,3066,F203,0.12,0.20,9.71,150.0,lift,box,2026-09-01T10:10:01
S003,3099,F204,0.13,0.22,9.68,2.7,move,box,2026-09-01T10:10:01
S003,3132,F205,0.14,0.21,9.70,2.9,place,box,2026-09-01T10:10:01
S003,3165,F206,0.15,0.20,9.69,3.0,release,box,2026-09-01T10:10:01
S004,4000,F301,0.10,0.20,9.70,2.0,reach,tool,2026-09-01T10:15:01
S004,4033,F302,0.11,0.21,9.69,2.2,grasp,tool,2026-09-01T10:15:01
S004,4066,F303,0.12,0.20,9.71,2.5,lift,tool,2026-09-01T10:15:01
S004,4099,F304,0.13,0.22,9.68,2.7,move,tool,2026-09-01T10:15:01
S004,4132,F305,0.14,0.21,9.70,2.9,place,tool,2026-09-01T10:15:01
S004,,F306,0.15,0.20,9.69,3.0,release,tool,2026-09-01T10:15:01
